Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783250365,5,,Aggregated,0.100000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,14,0,7700.0,6531.966980785714,67.12398599999142,10544.744707999998,44.07142857142857
1783250366,5,,Aggregated,0.100000,0.000000,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,17,0,9900.0,7120.350526058824,67.12398599999142,10544.744707999998,44.88235294117647
1783250367,5,,Aggregated,0.100000,0.000000,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,17,0,9900.0,7120.350526058824,67.12398599999142,10544.744707999998,44.88235294117647
1783250368,5,,Aggregated,0.100000,0.000000,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,17,0,9900.0,7120.350526058824,67.12398599999142,10544.744707999998,44.88235294117647
1783250369,5,,Aggregated,0.300000,0.000000,9800,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,20,0,7700.0,6193.7078943,67.12398599999142,10544.744707999998,44.5
1783250370,5,,Aggregated,0.300000,0.000000,9800,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,20,0,7700.0,6193.7078943,67.12398599999142,10544.744707999998,44.5
1783250371,5,,Aggregated,0.300000,0.000000,7700,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,21,0,7700.0,6027.148183095238,67.12398599999142,10544.744707999998,43.95238095238095
1783250372,5,,Aggregated,0.300000,0.000000,7700,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,21,0,7700.0,6027.148183095238,67.12398599999142,10544.744707999998,43.95238095238095
1783250373,5,,Aggregated,0.600000,0.000000,7000,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,23,0,7000.0,5510.788255391304,41.86215400000219,10544.744707999998,44.21739130434783
1783250374,5,,Aggregated,0.700000,0.000000,7000,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,24,0,2700.0,5377.547314208333,41.86215400000219,10544.744707999998,43.75
1783250375,5,,Aggregated,0.700000,0.000000,2700,9900,9900,9900,10000,11000,11000,11000,11000,11000,11000,26,0,2500.0,4971.022649230769,40.51333900001191,10544.744707999998,44.0
1783250376,5,,Aggregated,0.900000,0.000000,2500,9800,9900,9900,10000,11000,11000,11000,11000,11000,11000,27,0,2500.0,4873.622375185186,40.51333900001191,10544.744707999998,43.592592592592595
1783250377,5,,Aggregated,1.000000,0.000000,2400,9800,9900,9900,10000,11000,11000,11000,11000,11000,11000,29,0,2400.0,4543.6887175172415,40.51333900001191,10544.744707999998,43.86206896551724
1783250378,5,,Aggregated,1.200000,0.000000,2400,7700,9900,9900,10000,11000,11000,11000,11000,11000,11000,30,0,2400.0,4467.832964433333,40.51333900001191,10544.744707999998,43.5
1783250379,5,,Aggregated,1.200000,0.000000,2400,7700,9900,9900,10000,11000,11000,11000,11000,11000,11000,32,0,2300.0,4194.18960040625,36.863280000005034,10544.744707999998,43.78125
1783250380,5,,Aggregated,1.200000,0.000000,2300,7000,9900,9900,10000,11000,11000,11000,11000,11000,11000,33,0,2300.0,4134.648274121212,36.863280000005034,10544.744707999998,43.45454545454545
1783250381,5,,Aggregated,1.200000,0.000000,2300,7000,9900,9900,10000,11000,11000,11000,11000,11000,11000,33,0,2300.0,4134.648274121212,36.863280000005034,10544.744707999998,43.45454545454545
1783250382,5,,Aggregated,1.000000,0.000000,2300,7000,9900,9900,10000,11000,11000,11000,11000,11000,11000,35,0,2300.0,3904.237976000001,36.863280000005034,10544.744707999998,43.65714285714286
1783250383,5,,Aggregated,1.300000,0.000000,2300,2700,9900,9900,10000,11000,11000,11000,11000,11000,11000,36,0,2300.0,3859.053131750001,36.863280000005034,10544.744707999998,43.361111111111114
1783250384,5,,Aggregated,1.200000,0.000000,2300,2700,9800,9900,10000,11000,11000,11000,11000,11000,11000,37,0,2300.0,3757.1198827027033,36.863280000005034,10544.744707999998,57.4054054054054
1783250385,5,,Aggregated,1.400000,0.000000,2300,2700,9800,9900,10000,11000,11000,11000,11000,11000,11000,38,0,2300.0,3720.162780526316,36.863280000005034,10544.744707999998,56.76315789473684
1783250386,5,,Aggregated,1.300000,0.000000,2300,2500,9800,9900,10000,11000,11000,11000,11000,11000,11000,40,0,2300.0,3538.9399074000003,36.863280000005034,10544.744707999998,56.275
1783250387,5,,Aggregated,1.300000,0.000000,2300,2400,7700,9900,10000,10000,11000,11000,11000,11000,11000,43,0,2300.0,3353.104600139535,36.863280000005034,10544.744707999998,55.30232558139535
1783250388,5,,Aggregated,1.200000,0.000000,2200,2400,7000,9900,10000,10000,11000,11000,11000,11000,11000,45,0,2200.0,3208.327828266667,36.863280000005034,10544.744707999998,54.955555555555556
1783250389,5,,Aggregated,1.200000,0.000000,2200,2400,7000,9900,10000,10000,11000,11000,11000,11000,11000,45,0,2200.0,3208.327828266667,36.863280000005034,10544.744707999998,54.955555555555556
1783250390,5,,Aggregated,1.400000,0.000000,2300,2400,7000,9800,10000,10000,11000,11000,11000,11000,11000,46,0,2200.0,3199.125928913044,36.863280000005034,10544.744707999998,54.47826086956522
1783250391,5,,Aggregated,1.500000,0.000000,2200,2400,7000,9800,10000,10000,11000,11000,11000,11000,11000,47,0,2200.0,3132.878034148936,36.863280000005034,10544.744707999998,65.27659574468085
1783250392,5,,Aggregated,1.500000,0.000000,2200,2400,7000,9800,10000,10000,11000,11000,11000,11000,11000,47,0,2200.0,3132.878034148936,36.863280000005034,10544.744707999998,65.27659574468085
1783250393,5,,Aggregated,1.300000,0.000000,2200,2400,2800,9800,10000,10000,11000,11000,11000,11000,11000,50,0,380.0,3002.5622868399996,36.863280000005034,10544.744707999998,63.92
1783250394,5,,Aggregated,1.400000,0.000000,380,2400,2800,7700,9900,10000,11000,11000,11000,11000,11000,52,0,270.0,2890.581570173076,36.863280000005034,10544.744707999998,63.28846153846154
1783250395,5,,Aggregated,1.400000,0.000000,380,2400,2700,7700,9900,10000,11000,11000,11000,11000,11000,53,0,380.0,2886.7549320566036,36.863280000005034,10544.744707999998,62.716981132075475
1783250396,5,,Aggregated,1.400000,0.000000,380,2400,2700,7700,9900,10000,11000,11000,11000,11000,11000,53,0,380.0,2886.7549320566036,36.863280000005034,10544.744707999998,62.716981132075475
1783250397,5,,Aggregated,1.400000,0.000000,270,2400,2700,7700,9900,10000,11000,11000,11000,11000,11000,55,0,270.0,2785.010704218181,36.863280000005034,10544.744707999998,62.14545454545455
